Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,Lib,SNP,Grn,Ref,Others,Lead,date_year_appended,end_date
17–19 Sep,Savanta ComRes,,UK,2112,40%,35%,9%,4%,5%,2%,5% Plaid Cymru on 1% Other on 4%,5,17–19 Sep 2021,2021-09-19
16–17 Sep,Opinium,The Observer,GB,2000,40%,37%,7%,5%,6%,—,5% Plaid Cymru on 1% Other on 4%,3,16–17 Sep 2021,2021-09-17
15–16 Sep,YouGov,The Times,GB,1635,39%,35%,7%,5%,7%,3%,3% Plaid Cymru on 1% Other on 2%,4,15–16 Sep 2021,2021-09-16
9–16 Sep,Panelbase,,GB,3938,41%,36%,10%,4%,5%,—,5% Plaid Cymru on 1% Other on 4%,5,9–16 Sep 2021,2021-09-16
10–14 Sep,Survation,,UK,2164,40%,36%,9%,4%,5%,—,5% Plaid Cymru on 1% Other on 4%,4,10–14 Sep 2021,2021-09-14
13 Sep,Redfield & Wilton,,GB,2000,39%,35%,9%,4%,6%,5%,3% Plaid Cymru on 1% Other on 2%,4,13 Sep 2021,2021-09-13
10–12 Sep,Savanta ComRes,,UK,2097,39%,35%,9%,4%,6%,3%,6% Plaid Cymru on 1% Other on 5%,4,10–12 Sep 2021,2021-09-12
9–11 Sep,Opinium,The Observer,GB,2059,38%,38%,8%,5%,6%,—,5% Plaid Cymru on 0% Other on 5%,Tie,9–11 Sep 2021,2021-09-11
8–9 Sep,YouGov,The Times,GB,1657,33%,35%,10%,5%,9%,5%,3% Plaid Cymru on 1% Other on 2%,2,8–9 Sep 2021,2021-09-09
6–8 Sep,FindOutNow (MRP),The Sunday Telegraph,GB,10673,37%,33%,12%,5%,8%,4%,6% Other on 6%,4,6–8 Sep 2021,2021-09-08
4–8 Sep,Omnisis,The Byline Times,UK,993,34%,39%,9%,5%,6%,3%,4% Plaid Cymru on 1% Other on 3%,5,4–8 Sep 2021,2021-09-08
6 Sep,Redfield & Wilton,,GB,2000,41%,32%,11%,4%,6%,4%,3% Plaid Cymru on 1% Other on 2%,9,6 Sep 2021,2021-09-06
3–5 Sep,Savanta ComRes,,UK,2087,40%,36%,9%,4%,4%,3%,5% Plaid Cymru on 1% Other on 4%,4,3–5 Sep 2021,2021-09-05
2–3 Sep,YouGov,The Times,GB,1653,38%,34%,8%,5%,10%,3%,4% Plaid Cymru on 1% Other on 3%,4,2–3 Sep 2021,2021-09-03
2–3 Sep,Deltapoll,The Sun on Sunday,GB,1589,41%,33%,9%,3%,7%,3%,4% Plaid Cymru on 1% UKIP on 3% Other on 0%,8,2–3 Sep 2021,2021-09-03
2–3 Sep,Opinium,The Observer,GB,2014,40%,35%,7%,6%,6%,—,6% Plaid Cymru on 0% Other on 6%,5,2–3 Sep 2021,2021-09-03
29 Aug,Redfield & Wilton,,GB,2000,41%,33%,9%,4%,5%,4%,3% Plaid Cymru on 1% Other on 2%,8,29 Aug 2021,2021-08-29
27–29 Aug,Savanta ComRes,,UK,2062,40%,34%,10%,4%,5%,2%,4% Plaid Cymru on 1% Other on 3%,6,27–29 Aug 2021,2021-08-29
25–26 Aug,YouGov,The Times,GB,1703,39%,31%,8%,5%,9%,4%,4% Plaid Cymru on 1% Other on 3%,8,25–26 Aug 2021,2021-08-26
23 Aug,Redfield & Wilton,,GB,2000,43%,33%,10%,3%,6%,3%,1% Plaid Cymru on 0% Other on 1%,10,23 Aug 2021,2021-08-23
19–23 Aug,Kantar Public,,GB,1094,37%,34%,14%,4%,5%,2%,4% UKIP on 2% Plaid Cymru on 1% Other on 1%,3,19–23 Aug 2021,2021-08-23
20–22 Aug,Savanta ComRes,,UK,2083,41%,34%,9%,4%,4%,2%,5% Plaid Cymru on 1% Other on 4%,7,20–22 Aug 2021,2021-08-22
19–20 Aug,Opinium,The Observer,GB,2003,39%,36%,8%,6%,6%,—,5% Plaid Cymru on 1% Other on 4%,3,19–20 Aug 2021,2021-08-20
17–18 Aug,YouGov,The Times,GB,1703,40%,32%,9%,5%,8%,3%,4% Plaid Cymru on 1% Other on 3%,8,17–18 Aug 2021,2021-08-18
16 Aug,Redfield & Wilton,,GB,2000,40%,36%,10%,5%,5%,3%,2% Plaid Cymru on 0% Other on 2%,4,16 Aug 2021,2021-08-16
13–15 Aug,Savanta ComRes,,UK,2075,41%,34%,9%,4%,4%,2%,5% Plaid Cymru on 1% Other on 4%,7,13–15 Aug 2021,2021-08-15
11–12 Aug,YouGov,The Times,GB,2169,40%,32%,9%,5%,7%,2%,4% Plaid Cymru on 1% Other on 3%,8,11–12 Aug 2021,2021-08-12
9 Aug,Redfield & Wilton,,GB,2000,40%,37%,9%,4%,6%,3%,2% Plaid Cymru on 1% Other on 1%,3,9 Aug 2021,2021-08-09
30 Jul – 9 Aug,Ipsos,Evening Standard,GB,1113,41%,30%,13%,6%,8%,0%,3% Plaid Cymru on 1% UKIP on 0% Other on 2%,11,30 Jul – 9 Aug 2021,2021-08-09
6–8 Aug,Savanta ComRes,,UK,2047,41%,33%,10%,4%,4%,2%,5% Plaid Cymru on 1% Other on 4%,8,6–8 Aug 2021,2021-08-08
5–6 Aug,Opinium,The Observer,GB,2000,42%,35%,7%,6%,5%,—,5% Plaid Cymru on 1% Other on 4%,7,5–6 Aug 2021,2021-08-06
5–6 Aug,YouGov,The Times,GB,1730,41%,33%,8%,5%,7%,3%,3% Plaid Cymru on 1% Other on 2%,8,5–6 Aug 2021,2021-08-06
2 Aug,Redfield & Wilton,,GB,2000,41%,34%,11%,4%,6%,3%,2% Plaid Cymru on 0% Other on 2%,7,2 Aug 2021,2021-08-02
30 Jul – 1 Aug,Savanta ComRes,,UK,2100,40%,34%,10%,4%,6%,1%,4% Plaid Cymru on 0% Other on 4%,6,30 Jul – 1 Aug 2021,2021-08-01
28–29 Jul,YouGov,The Times,GB,1637,39%,34%,8%,4%,9%,3%,3% Plaid Cymru on 1% Other on 2%,5,28–29 Jul 2021,2021-07-29
23–26 Jul,Deltapoll,,GB,1590,42%,37%,6%,3%,6%,2%,5% Plaid Cymru on 1% UKIP on 3% Other on 1%,5,23–26 Jul 2021,2021-07-26
25 Jul,Redfield & Wilton,,GB,2000,40%,36%,9%,4%,6%,4%,2% Plaid Cymru on 0% Other on 2%,4,25 Jul 2021,2021-07-25
23–25 Jul,Savanta ComRes,,UK,2161,40%,34%,10%,4%,4%,2%,5% Plaid Cymru on 1% Other on 4%,6,23–25 Jul 2021,2021-07-25
23 Jul,Survation,,UK,1013,39%,37%,10%,4%,5%,—,5% Plaid Cymru on 1% Other on 4%,2,23 Jul 2021,2021-07-23
22–23 Jul,Opinium,The Observer,GB,2000,43%,35%,8%,5%,5%,—,4% Plaid Cymru on 1% Other on 3%,8,22–23 Jul 2021,2021-07-23
20–21 Jul,YouGov,The Times,GB,1667,38%,34%,9%,5%,8%,3%,3% Plaid Cymru on 1% Other on 2%,4,20–21 Jul 2021,2021-07-21
19–20 Jul,Survation,,UK,1032,39%,35%,11%,4%,5%,—,6% Plaid Cymru on 1% Other on 5%,4,19–20 Jul 2021,2021-07-20
19 Jul,Redfield & Wilton,,GB,2000,42%,33%,10%,4%,5%,3%,2% Plaid Cymru on 0% Other on 2%,9,19 Jul 2021,2021-07-19
16–18 Jul,Savanta ComRes,,UK,2127,41%,34%,8%,4%,5%,2%,5% Plaid Cymru on 1% Other on 4%,7,16–18 Jul 2021,2021-07-18
15–16 Jul,YouGov,The Times,GB,1761,44%,31%,8%,4%,6%,3%,3% Plaid Cymru on 1% Other on 2%,13,15–16 Jul 2021,2021-07-16
5–13 Jul,Survation,,UK,2119,43%,32%,9%,5%,6%,—,6% Plaid Cymru on 1% Other on 5%,11,5–13 Jul 2021,2021-07-13
12 Jul,Redfield & Wilton,,GB,2000,41%,33%,12%,4%,6%,3%,1% Plaid Cymru on 0% Other on 1%,8,12 Jul 2021,2021-07-12
7–12 Jul,Kantar Public,,GB,1057,44%,31%,12%,6%,4%,1%,3% UKIP on 1% Plaid Cymru on 1% Other on 1%,13,7–12 Jul 2021,2021-07-12
9–11 Jul,Savanta ComRes,,UK,2137,40%,35%,9%,4%,6%,2%,5% Plaid Cymru on 1% Other on 4%,5,9–11 Jul 2021,2021-07-11
8–9 Jul,Opinium,The Observer,GB,2001,43%,35%,6%,5%,6%,—,5% Plaid Cymru on 2% Other on 3%,8,8–9 Jul 2021,2021-07-09
7–8 Jul,YouGov,The Times,GB,2054,42%,30%,9%,5%,7%,2%,4% Plaid Cymru on 1% Other on 3%,12,7–8 Jul 2021,2021-07-08
2–8 Jul,Ipsos,Evening Standard,GB,1053,40%,31%,13%,6%,6%,0%,4% Plaid Cymru on 1% UKIP on 1% Other on 2%,9,2–8 Jul 2021,2021-07-08
5 Jul,Redfield & Wilton,,GB,2000,43%,34%,8%,4%,6%,4%,2% Plaid Cymru on 1% Other on 1%,9,5 Jul 2021,2021-07-05
2–4 Jul,Savanta ComRes,,UK,2176,41%,35%,8%,3%,4%,3%,6% Plaid Cymru on 1% Other on 5%,6,2–4 Jul 2021,2021-07-04
18 Jun – 2 Jul,Panelbase,Sunday Times,GB,3391,44%,33%,10%,5%,5%,—,4% Plaid Cymru on 1% Other on 3%,11,18 Jun – 2 Jul 2021,2021-07-02
1 Jul,Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],Batley and Spen by-election[32],1 Jul 2021,2021-07-01
29–30 Jun,YouGov,The Times,GB,1762,42%,31%,10%,5%,6%,3%,3% Plaid Cymru on 1% Other on 2%,11,29–30 Jun 2021,2021-06-30
28 Jun,Redfield & Wilton,,GB,2000,41%,34%,9%,5%,5%,3%,2% Plaid Cymru on 0% Other on 2%,7,28 Jun 2021,2021-06-28
25–27 Jun,Savanta ComRes,,GB,2148,42%,33%,9%,4%,5%,2%,6% Plaid Cymru on 1% Other on 5%,9,25–27 Jun 2021,2021-06-27
25–26 Jun,Survation,,UK,1001,41%,35%,10%,3%,5%,—,6% Other on 6%,6,25–26 Jun 2021,2021-06-26
23–25 Jun,Opinium,The Observer,GB,2000,43%,35%,7%,5%,5%,—,5% Plaid Cymru on 1% Other on 4%,8,23–25 Jun 2021,2021-06-25
23–24 Jun,YouGov,The Times,GB,1758,42%,30%,9%,5%,7%,4%,3% Plaid Cymru on 1% Other on 2%,12,23–24 Jun 2021,2021-06-24
21 Jun,Redfield & Wilton,,GB,2000,44%,33%,10%,4%,4%,3%,3% Plaid Cymru on 1% Other on 2%,11,21 Jun 2021,2021-06-21
18–20 Jun,Savanta ComRes,,UK,2191,44%,30%,10%,4%,5%,1%,5% Plaid Cymru on 1% Other on 4%,14,18–20 Jun 2021,2021-06-20
17–20 Jun,Deltapoll,,GB,2343,41%,35%,10%,2%,5%,2%,5% Plaid Cymru on 0% UKIP on 3% Other on 2%,6,17–20 Jun 2021,2021-06-20
17 Jun,Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],Chesham and Amersham by-election[33],17 Jun 2021,2021-06-17
16–17 Jun,YouGov,The Times,GB,1642,45%,31%,6%,5%,7%,4%,3% Plaid Cymru on 1% Other on 2%,14,16–17 Jun 2021,2021-06-17
11–15 Jun,Survation,,UK,2024,41%,33%,8%,4%,7%,—,6% Other on 6%,9,11–15 Jun 2021,2021-06-15
7–14 Jun,Number Cruncher Politics,,UK,1517,45%,34%,5%,5%,7%,3%,2% Plaid Cymru on 1% Other on 1%,11,7–14 Jun 2021,2021-06-14
13 Jun,Redfield & Wilton,,GB,2000,44%,34%,9%,4%,5%,2%,1% Plaid Cymru on 0% Other on 1%,10,13 Jun 2021,2021-06-13
11–13 Jun,Savanta ComRes,,UK,2108,41%,34%,8%,5%,6%,2%,5% Plaid Cymru on 1% Other on 4%,7,11–13 Jun 2021,2021-06-13
10–12 Jun,Deltapoll,The Mail on Sunday,GB,1608,46%,34%,7%,2%,5%,2%,4% Plaid Cymru on 1% UKIP on 3% Other on 0%,12,10–12 Jun 2021,2021-06-12
10–11 Jun,Opinium,The Observer,GB,2002,43%,34%,6%,6%,7%,—,5% Plaid Cymru on 1% Other on 4%,9,10–11 Jun 2021,2021-06-11
9–10 Jun,YouGov,The Times,GB,1630,44%,31%,7%,5%,9%,2%,3% Plaid Cymru on 1% Other on 2%,13,9–10 Jun 2021,2021-06-10
9–10 Jun,Survation,,UK,2017,42%,35%,9%,4%,5%,—,5% Other on 5%,7,9–10 Jun 2021,2021-06-10
7 Jun,Redfield & Wilton,,GB,2000,43%,36%,7%,5%,5%,1%,2% Plaid Cymru on 0% Other on 2%,7,7 Jun 2021,2021-06-07
3–7 Jun,Kantar Public,,GB,1122,45%,32%,8%,4%,6%,2%,3% UKIP on 1% Plaid Cymru on 1% Other on 1%,13,3–7 Jun 2021,2021-06-07
4–6 Jun,Savanta ComRes,,UK,2089,44%,32%,8%,4%,5%,2%,5% Plaid Cymru on 1% Other on 4%,12,4–6 Jun 2021,2021-06-06
2–3 Jun,YouGov,The Times,GB,1703,46%,30%,6%,4%,9%,2%,3% Plaid Cymru on 1% Other on 2%,16,2–3 Jun 2021,2021-06-03
28 May – 3 Jun,Ipsos,Evening Standard,GB,1002,44%,35%,6%,5%,7%,0%,1% Plaid Cymru on 1% UKIP on 0% Other on 0%,9,28 May – 3 Jun 2021,2021-06-03
1–2 Jun,Survation,,UK,1533,41%,33%,9%,4%,6%,—,6% Plaid Cymru on 1% Other on 5%,8,1–2 Jun 2021,2021-06-02
31 May,Redfield & Wilton,,GB,2000,45%,34%,8%,4%,5%,3%,2% Plaid Cymru on 0% Other on 2%,11,31 May 2021,2021-05-31
28–30 May,Savanta ComRes,,UK,2180,42%,32%,9%,4%,5%,2%,5% Plaid Cymru on 1% Other on 4%,10,28–30 May 2021,2021-05-30
27–28 May,Opinium,The Observer,GB,2004,42%,36%,6%,5%,5%,1%,4% UKIP on 1% Plaid Cymru on 1% Other on 2%,6,27–28 May 2021,2021-05-28
27–28 May,YouGov,The Times,GB,1705,43%,29%,8%,5%,8%,3%,3% Plaid Cymru on 1% Other on 2%,14,27–28 May 2021,2021-05-28
27–28 May,Survation Archived 29 May 2021 at the Wayback Machine[34],Daily Mail,UK,1010,43%,33%,10%,5%,5%,—,5% Plaid Cymru on 0% Other on 5%,10,27–28 May 2021,2021-05-28
27–28 May,Number Cruncher Politics,,UK,1001,44%,32%,7%,5%,8%,2%,2% Plaid Cymru on 1% Other on 1%,12,27–28 May 2021,2021-05-28
25–26 May,Survation,,UK,1041,44%,33%,8%,4%,6%,—,4% Plaid Cymru on 0% Other on 4%,11,25–26 May 2021,2021-05-26
24 May,Redfield & Wilton,,GB,2000,43%,33%,10%,4%,5%,3%,3% Plaid Cymru on 1% Other on 2%,10,24 May 2021,2021-05-24
21–23 May,Savanta ComRes,,UK,2215,43%,34%,9%,4%,4%,2%,6% Plaid Cymru on 1% Other on 5%,9,21–23 May 2021,2021-05-23
19–20 May,YouGov,The Times,GB,1699,46%,28%,8%,5%,8%,2%,2% Plaid Cymru on 1% Other on 1%,18,19–20 May 2021,2021-05-20
17 May,Redfield & Wilton,,GB,2000,42%,33%,10%,4%,6%,2%,3% Plaid Cymru on 1% Other on 2%,9,17 May 2021,2021-05-17
14–16 May,Savanta ComRes,,UK,2131,43%,32%,8%,4%,5%,2%,6% Plaid Cymru on 1% Other on 5%,11,14–16 May 2021,2021-05-16
13–15 May,FindOutNow (MRP),The Sunday Telegraph,GB,14715,43%,30%,11%,5%,9%,2%,1% Plaid Cymru on 1%,13,13–15 May 2021,2021-05-15
13–14 May,Opinium,The Observer,GB,2004,44%,31%,8%,5%,7%,0%,6% UKIP on 2% Plaid Cymru on 1% Other on 3%,13,13–14 May 2021,2021-05-14
13 May,Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],Airdrie and Shotts by-election[35],13 May 2021,2021-05-13
11–12 May,YouGov,The Times,GB,1647,45%,30%,7%,5%,8%,2%,3% Plaid Cymru on 1% Other on 2%,15,11–12 May 2021,2021-05-12
10 May,Redfield & Wilton,,GB,2000,45%,34%,8%,4%,5%,2%,2% Plaid Cymru on 0% Other on 2%,11,10 May 2021,2021-05-10
7–9 May,Savanta ComRes,,UK,2152,42%,34%,8%,5%,4%,2%,6% Plaid Cymru on 1% Other on 5%,8,7–9 May 2021,2021-05-09
06 May,"Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]","Local elections in England and Wales, Scottish and Welsh parliament elections, and the Hartlepool by-election[36][37][38][39]",06 May 2021,2021-05-06
4–5 May,YouGov,The Times,GB,1683,43%,33%,7%,5%,6%,3%,3% Plaid Cymru on 1% Other on 2%,10,4–5 May 2021,2021-05-05
4–5 May,Panelbase,,GB,1003,45%,36%,6%,4%,5%,—,4% Plaid Cymru on 1% Other on 3%,9,4–5 May 2021,2021-05-05
3 May,Redfield & Wilton,,GB,2000,40%,38%,7%,4%,5%,3%,2% Plaid Cymru on 1% Other on 1%,2,3 May 2021,2021-05-03
30 Apr – 2 May,Savanta ComRes,,UK,2242,40%,36%,8%,4%,4%,2%,5% Plaid Cymru on 1% Other on 4%,4,30 Apr – 2 May 2021,2021-05-02
29–30 Apr,Focaldata,The Sunday Times,GB,1555,40%,39%,6%,4%,4%,3%,3% Plaid Cymru on 1% Other on 2%,1,29–30 Apr 2021,2021-04-30
28–30 Apr,Opinium,The Observer,GB,2001,42%,37%,7%,5%,4%,0%,5% UKIP on 2% Plaid Cymru on 1% Other on 2%,5,28–30 Apr 2021,2021-04-30
28–29 Apr,Number Cruncher Politics[permanent dead link‍],,UK,1001,43%,34%,5%,5%,7%,2%,3% Plaid Cymru on 1% Other on 2%,9,28–29 Apr 2021,2021-04-29
27–29 Apr,Survation,Daily Mail,UK,1077,39%,38%,9%,4%,6%,—,5% Plaid Cymru on 0% Other on 5%,1,27–29 Apr 2021,2021-04-29
27–28 Apr,YouGov,The Times,GB,1803,44%,33%,7%,4%,7%,3%,2% Plaid Cymru on 1% Other on 1%,11,27–28 Apr 2021,2021-04-28
26 Apr,Redfield & Wilton,,GB,2000,44%,34%,8%,5%,4%,3%,2% Plaid Cymru on 1% Other on 1%,10,26 Apr 2021,2021-04-26
22–26 Apr,Kantar Public,,GB,1115,41%,33%,10%,5%,7%,3%,2% UKIP on 1% Plaid Cymru on 0% Other on 1%,8,22–26 Apr 2021,2021-04-26
22–26 Apr,BMG,The Independent,GB,1500,39%,35%,9%,4%,6%,3%,3% Plaid Cymru on 1% Other on 2%,4,22–26 Apr 2021,2021-04-26
23–25 Apr,Savanta ComRes,,UK,2144,42%,35%,8%,5%,3%,2%,5% Plaid Cymru on 1% Other on 4%,7,23–25 Apr 2021,2021-04-25
21–23 Apr,Opinium,The Observer,GB,2000,44%,33%,7%,6%,5%,0%,6% Plaid Cymru on 1% UKIP on 2% Other on 3%,11,21–23 Apr 2021,2021-04-23
21–22 Apr,YouGov,The Times,GB,1730,44%,34%,5%,5%,7%,2%,5% Plaid Cymru on 1% Other on 2%,10,21–22 Apr 2021,2021-04-22
16–22 Apr,Ipsos,Evening Standard,GB,1090,40%,37%,8%,6%,5%,2%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,3,16–22 Apr 2021,2021-04-22
19 Apr,Redfield & Wilton,,GB,2000,44%,34%,10%,4%,4%,3%,3% Plaid Cymru on 1% Other on 2%,10,19 Apr 2021,2021-04-19
15–19 Apr,Survation,,UK,1008,40%,34%,9%,4%,7%,—,7% Plaid Cymru on 1%  Other on 6%,6,15–19 Apr 2021,2021-04-19
16–18 Apr,Savanta ComRes,,UK,2094,43%,34%,7%,5%,4%,1%,6% Plaid Cymru on 1% Other on 5%,9,16–18 Apr 2021,2021-04-18
13–14 Apr,YouGov,The Times,GB,1689,43%,29%,8%,5%,8%,3%,3% Plaid Cymru on 1% Other on 2%,14,13–14 Apr 2021,2021-04-14
12 Apr,Redfield & Wilton,,GB,2000,43%,36%,7%,4%,5%,3%,3% Plaid Cymru on 1% Other on 2%,7,12 Apr 2021,2021-04-12
9–11 Apr,Savanta ComRes,,UK,2174,42%,35%,7%,5%,4%,2%,7% Plaid Cymru on 1% Other on 4%,7,9–11 Apr 2021,2021-04-11
8–10 Apr,Survation,,UK,1009,43%,35%,8%,3%,4%,—,6% Plaid Cymru on 1%  Other on 5%,8,8–10 Apr 2021,2021-04-10
8–10 Apr,Deltapoll Archived 10 April 2021 at the Wayback Machine[40],The Mail on Sunday,GB,1608,45%,36%,6%,2%,4%,4%,3% Plaid Cymru on 0% UKIP on 2% Other on 1%,9,8–10 Apr 2021,2021-04-10
8–9 Apr,Opinium,The Observer,GB,2006,45%,36%,6%,6%,4%,0%,4% Plaid Cymru on 1% UKIP on 1% Other on 2%,9,8–9 Apr 2021,2021-04-09
7–8 Apr,YouGov,The Times,GB,1708,41%,34%,6%,5%,6%,3%,4% Plaid Cymru on 1% Other on 3%,7,7–8 Apr 2021,2021-04-08
5 Apr,Redfield & Wilton,,GB,2000,44%,34%,9%,4%,5%,2%,2% Plaid Cymru on 0% Other on 2%,10,5 Apr 2021,2021-04-05
2–4 Apr,Savanta ComRes,,UK,2065,42%,35%,8%,4%,3%,2%,5% Plaid Cymru on 1% Other on 4%,7,2–4 Apr 2021,2021-04-04
31 Mar – 1 Apr,YouGov,The Times,GB,1736,42%,34%,7%,5%,6%,3%,3% Plaid Cymru on 1% Other on 2%,8,31 Mar – 1 Apr 2021,2021-04-01
29 Mar,Redfield & Wilton,,GB,2000,44%,36%,7%,4%,4%,2%,3% Plaid Cymru on 1% Other on 2%,8,29 Mar 2021,2021-03-29
25–29 Mar,Kantar Public,,GB,1102,42%,34%,9%,7%,4%,2%,3% UKIP on 1% Plaid Cymru on 1% Other on 1%,8,25–29 Mar 2021,2021-03-29
25–27 Mar,Deltapoll Archived 28 March 2021 at the Wayback Machine[41],The Mail on Sunday,GB,1610,44%,36%,6%,2%,4%,3%,5% Plaid Cymru on 0% UKIP on 4% Other on 1%,8,25–27 Mar 2021,2021-03-27
25–26 Mar,YouGov,The Times,GB,1742,42%,32%,8%,5%,7%,3%,3% Plaid Cymru on 1% Other on 2%,10,25–26 Mar 2021,2021-03-26
25–26 Mar,Opinium,The Observer,GB,2002,41%,37%,6%,6%,5%,1%,5% Plaid Cymru on 1% UKIP on 2% Other on 2%,4,25–26 Mar 2021,2021-03-26
22 Mar,Redfield & Wilton,,GB,2000,42%,36%,9%,4%,6%,2%,2% Plaid Cymru on 1% Other on 1%,6,22 Mar 2021,2021-03-22
19–21 Mar,Savanta ComRes,,UK,2098,42%,38%,6%,4%,3%,2%,5% Plaid Cymru on 1% Other on 4%,4,19–21 Mar 2021,2021-03-21
18–19 Mar,YouGov,The Times,GB,1692,43%,34%,5%,5%,7%,3%,3% Plaid Cymru on 1% Other on 2%,9,18–19 Mar 2021,2021-03-19
16–19 Mar,BMG,The Independent,GB,1498,39%,37%,9%,4%,6%,3%,2% Plaid Cymru on 1% Other on 1%,2,16–19 Mar 2021,2021-03-19
12–16 Mar,Number Cruncher Politics,,UK,1001,42%,37%,7%,5%,5%,2%,3% Plaid Cymru on 1% Other on 2%,5,12–16 Mar 2021,2021-03-16
15 Mar,Redfield & Wilton,,GB,2000,43%,36%,7%,4%,5%,3%,1% Plaid Cymru on 0% Other on 1%,7,15 Mar 2021,2021-03-15
12–14 Mar,Savanta ComRes,,UK,2092,39%,37%,8%,4%,4%,3%,5% Plaid Cymru on 1% Other on 4%,2,12–14 Mar 2021,2021-03-14
11–12 Mar,Opinium,The Observer,GB,2001,43%,37%,6%,5%,4%,0%,4% Plaid Cymru on 1% UKIP on 1% Other on 2%,6,11–12 Mar 2021,2021-03-12
5–12 Mar,Ipsos,Evening Standard,GB,1009,45%,38%,6%,5%,5%,0%,1% Plaid Cymru on 0% Other on 1%,7,5–12 Mar 2021,2021-03-12
9–10 Mar,YouGov,The Times,GB,1680,42%,33%,7%,4%,6%,3%,3% Plaid Cymru on 1% Other on 2%,9,9–10 Mar 2021,2021-03-10
9–10 Mar,Survation,Sunday Mirror,UK,1037,43%,33%,9%,5%,5%,1%,4% Plaid Cymru on 1%  Other on 4%,10,9–10 Mar 2021,2021-03-10
8 Mar,Redfield & Wilton,,GB,2000,45%,36%,7%,4%,4%,3%,1% Plaid Cymru on 0% Other on 1%,9,8 Mar 2021,2021-03-08
5–7 Mar,Savanta ComRes,,UK,2129,42%,36%,8%,4%,4%,3%,5% Plaid Cymru on 1% Other on 4%,6,5–7 Mar 2021,2021-03-07
06 Mar,Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],Richard Tice becomes leader of Reform UK[42],06 Mar 2021,2021-03-06
3–4 Mar,YouGov,The Times,GB,1715,45%,32%,6%,5%,7%,3%,2% Plaid Cymru on 1% Other on 1%,13,3–4 Mar 2021,2021-03-04
1 Mar,Redfield & Wilton,,GB,1500,44%,38%,7%,4%,3%,2%,1% Plaid Cymru on 0% Other on 1%,6,1 Mar 2021,2021-03-01
26–28 Feb,Savanta ComRes Archived 2 March 2021 at the Wayback Machine[43],,UK,2182,43%,36%,7%,4%,3%,3%,4% Plaid Cymru on 1% Other on 3%,7,26–28 Feb 2021,2021-02-28
25–26 Feb,YouGov,The Times,GB,1637,41%,36%,5%,5%,7%,3%,2% Plaid Cymru on 1% Other on 1%,5,25–26 Feb 2021,2021-02-26
24–26 Feb,Deltapoll,The Mail on Sunday,GB,1527,42%,38%,6%,2%,4%,3%,4% Plaid Cymru on 0% UKIP on 3% Other on 1%,4,24–26 Feb 2021,2021-02-26
24–26 Feb,Opinium,The Observer,GB,2003,43%,36%,7%,6%,4%,0%,4% Plaid Cymru on 1% UKIP on 1% Other on 2%,7,24–26 Feb 2021,2021-02-26
