Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
11–12 Oct,YouGov/The Sun,2640,36%,42%,9%,6%,2%,6% BNP on 1%,6%,11–12 Oct 2011,2011-10-12
10–11 Oct,YouGov/The Sun,2526,37%,41%,8%,6%,3%,5% BNP on 1%,4%,10–11 Oct 2011,2011-10-11
9–10 Oct,YouGov/The Sun,2740,36%,40%,11%,5%,2%,6% BNP on 1%,4%,9–10 Oct 2011,2011-10-10
7–10 Oct,Opinium,1962,36%,37%,8%,7%,5%,8%,1%,7–10 Oct 2011,2011-10-10
7–9 Oct,YouGov/Sunday Times,2448,38%,42%,9%,5%,2%,4%,4%,7–9 Oct 2011,2011-10-09
5–6 Oct,YouGov/The Sun,2723,37%,41%,10%,5%,2%,4% BNP on 1%,4%,5–6 Oct 2011,2011-10-06
4–5 Oct,YouGov/The Sun,2644,37%,41%,9%,5%,2%,5% BNP on 1%,4%,4–5 Oct 2011,2011-10-05
3–4 Oct,YouGov/The Sun,2525,38%,42%,9%,5%,2%,5% BNP on 1%,4%,3–4 Oct 2011,2011-10-04
2–3 Oct,YouGov/The Sun,2747,37%,42%,9%,5%,2%,5% BNP on 1%,5%,2–3 Oct 2011,2011-10-03
29–30 Sep,YouGov/Sunday Times,2333,36%,42%,10%,4%,3%,5%,6%,29–30 Sep 2011,2011-09-30
27–30 Sep,Opinium,1947,33%,40%,9%,6%,4%,8%,7%,27–30 Sep 2011,2011-09-30
28–29 Sep,YouGov/The Sun,2547,38%,41%,9%,5%,2%,5% BNP on 1%,3%,28–29 Sep 2011,2011-09-29
27–28 Sep,YouGov/The Sun,2627,37%,43%,9%,5%,2%,5% BNP on 1%,6%,27–28 Sep 2011,2011-09-28
26–27 Sep,YouGov/The Sun,2754,37%,43%,8%,5%,2%,6% BNP on 2%,6%,26–27 Sep 2011,2011-09-27
25–26 Sep,YouGov/The Sun,2500,39%,41%,8%,5%,2%,5% BNP on 1%,2%,25–26 Sep 2011,2011-09-26
23–25 Sep,ComRes/The Independent[permanent dead link‍],1000,37%,36%,12%,4%,3%,8%,1%,23–25 Sep 2011,2011-09-25
22–23 Sep,YouGov/Sunday Times,2636,36%,42%,11%,4%,2%,5%,6%,22–23 Sep 2011,2011-09-23
21–22 Sep,YouGov/The Sun,2456,36%,42%,10%,5%,2%,5% BNP on 1%,6%,21–22 Sep 2011,2011-09-22
20–21 Sep,YouGov/The Sun,2601,35%,41%,9%,5%,3%,6% BNP on 1%,6%,20–21 Sep 2011,2011-09-21
20–21 Sep,ICM/The Guardian,1007,37%,38%,14%,3%,2%,7%,1%,20–21 Sep 2011,2011-09-21
19–20 Sep,YouGov/The Sun,2468,36%,41%,10%,5%,2%,6% BNP on 2%,5%,19–20 Sep 2011,2011-09-20
18–19 Sep,YouGov/The Sun,2611,36%,42%,10%,4%,2%,6% BNP on 2%,6%,18–19 Sep 2011,2011-09-19
15–16 Sep,YouGov/Sunday Times,2474,36%,42%,9%,5%,2%,5%,6%,15–16 Sep 2011,2011-09-16
14–15 Sep,YouGov/The Sun,2731,38%,41%,9%,5%,2%,5% BNP on 1%,3%,14–15 Sep 2011,2011-09-15
13–15 Sep,Opinium,1960,33%,36%,9%,8%,4%,9%,3%,13–15 Sep 2011,2011-09-15
13–14 Sep,YouGov/The Sun,2619,37%,41%,10%,6%,2%,6% BNP on 2%,4%,13–14 Sep 2011,2011-09-14
12–13 Sep,YouGov/The Sun,2429,35%,43%,10%,5%,3%,4% BNP on 1%,8%,12–13 Sep 2011,2011-09-13
11–12 Sep,YouGov/The Sun,2655,37%,41%,10%,4%,2%,6% BNP on 2%,4%,11–12 Sep 2011,2011-09-12
10–12 Sep,Ipsos MORI/Reuters,1008,35%,37%,13%,3%,3%,9%,2%,10–12 Sep 2011,2011-09-12
9–11 Sep,Populus/The Times[18],757,34%,38%,12%,5%,3%,9%,4%,9–11 Sep 2011,2011-09-11
8–9 Sep,YouGov/Sunday Times,2724,38%,41%,9%,5%,2%,6%,3%,8–9 Sep 2011,2011-09-09
7–8 Sep,YouGov/The Sun,2627,36%,42%,10%,5%,3%,6% BNP on 2%,6%,7–8 Sep 2011,2011-09-08
6–7 Sep,YouGov/The Sun,2554,36%,42%,9%,6%,3%,6% BNP on 2%,6%,6–7 Sep 2011,2011-09-07
5–6 Sep,YouGov/The Sun,2552,38%,40%,9%,4%,3%,6% BNP on 2%,2%,5–6 Sep 2011,2011-09-06
4–5 Sep,YouGov/The Sun,2796,37%,43%,9%,5%,2%,5% BNP on 2%,6%,4–5 Sep 2011,2011-09-05
2–5 Sep,Opinium,1952,36%,37%,9%,7%,4%,7%,1%,2–5 Sep 2011,2011-09-05
2–4 Sep,ComRes/The Independent[permanent dead link‍],1000,37%,38%,11%,2%,6%,6%,1%,2–4 Sep 2011,2011-09-04
1–2 Sep,Angus Reid Public Opinion[permanent dead link‍],2005,33%,39%,11%,7%,2%,8%,6%,1–2 Sep 2011,2011-09-02
1–2 Sep,YouGov/The Sunday Times,2696,38%,39%,10%,5%,3%,4%,1%,1–2 Sep 2011,2011-09-02
31 Aug–1 Sep,YouGov/The Sun,2588,36%,42%,10%,5%,3%,4% BNP on 1%,6%,31 Aug–1 Sep 2011,2011-09-01
30–31 Aug,YouGov/The Sun,2783,37%,42%,10%,4%,2%,5% BNP on 1%,5%,30–31 Aug 2011,2011-08-31
29–30 Aug,YouGov/The Sun,2449,39%,40%,10%,4%,2%,6% BNP on 2%,1%,29–30 Aug 2011,2011-08-30
25–26 Aug,YouGov/The Sunday Times,2657,38%,41%,9%,5%,2%,6%,3%,25–26 Aug 2011,2011-08-26
24–25 Aug,YouGov/The Sun,2530,37%,42%,9%,4%,2%,4% BNP on 1%,5%,24–25 Aug 2011,2011-08-25
23–24 Aug,YouGov/The Sun,2709,36%,43%,9%,4%,3%,5% BNP on 1%,7%,23–24 Aug 2011,2011-08-24
22–23 Aug,YouGov/The Sun,2585,37%,44%,9%,4%,2%,4% BNP on 1%,7%,22–23 Aug 2011,2011-08-23
21–22 Aug,YouGov/The Sun,2619,35%,44%,9%,5%,2%,5% BNP on 1%,9%,21–22 Aug 2011,2011-08-22
20–22 Aug,Ipsos MORI/Reuters,476,34%,40%,15%,3%,5%,4%,6%,20–22 Aug 2011,2011-08-22
19–21 Aug,ICM/The Guardian,1004,37%,36%,17%,2%,1%,7%,1%,19–21 Aug 2011,2011-08-21
18–19 Aug,YouGov/Sunday Times,2464,36%,40%,11%,5%,2%,6%,4%,18–19 Aug 2011,2011-08-19
16–19 Aug,Opinium,1978,37%,38%,9%,6%,4%,7%,1%,16–19 Aug 2011,2011-08-19
17–18 Aug,YouGov/The Sun,2608,36%,44%,9%,5%,2%,4% BNP on 1%,8%,17–18 Aug 2011,2011-08-18
17–18 Aug,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],2028,38%,40%,11%,5%,2%,6%,2%,17–18 Aug 2011,2011-08-18
16–17 Aug,YouGov/The Sun,2783,35%,44%,9%,5%,2%,5% BNP on 1%,9%,16–17 Aug 2011,2011-08-17
15–16 Aug,YouGov/The Sun,2665,36%,42%,10%,5%,2%,5% BNP on 1%,6%,15–16 Aug 2011,2011-08-16
14–15 Aug,YouGov/The Sun,2847,35%,43%,9%,5%,2%,4% BNP on 1%,8%,14–15 Aug 2011,2011-08-15
11–12 Aug,YouGov/Sunday Times,2656,36%,43%,9%,5%,1%,5%,7%,11–12 Aug 2011,2011-08-12
10–11 Aug,YouGov/The Sun,2075,35%,43%,9%,5%,2%,6% BNP on 2%,8%,10–11 Aug 2011,2011-08-11
9–11 Aug,Opinium,1963,34%,38%,9%,8%,4%,7%,4%,9–11 Aug 2011,2011-08-11
9–10 Aug,YouGov/The Sun,2700,36%,43%,9%,5%,2%,6% BNP on 2%,7%,9–10 Aug 2011,2011-08-10
8–9 Aug,YouGov/The Sun,2864,36%,43%,9%,5%,2%,5% BNP on 1%,7%,8–9 Aug 2011,2011-08-09
7–8 Aug,YouGov/The Sun,2743,36%,44%,9%,4%,2%,6% BNP on 1%,8%,7–8 Aug 2011,2011-08-08
4–5 Aug,YouGov/Sunday Times,2425,35%,44%,9%,4%,2%,5%,9%,4–5 Aug 2011,2011-08-05
3–4 Aug,YouGov/The Sun,2748,36%,42%,10%,5%,2%,5% BNP on 1%,6%,3–4 Aug 2011,2011-08-04
2–3 Aug,YouGov/The Sun,2657,35%,43%,10%,5%,2%,5% BNP on 1%,8%,2–3 Aug 2011,2011-08-03
1–2 Aug,YouGov/The Sun,2776,36%,45%,8%,4%,2%,5% BNP on 1%,9%,1–2 Aug 2011,2011-08-02
31 Jul–1 Aug,YouGov/The Sun,2820,35%,42%,11%,5%,2%,6% BNP on 1%,7%,31 Jul–1 Aug 2011,2011-08-01
28–29 Jul,YouGov/Sunday Times,2529,35%,44%,10%,4%,2%,6%,9%,28–29 Jul 2011,2011-07-29
27–28 Jul,YouGov/The Sun,2699,36%,42%,11%,5%,2%,5% BNP on 1%,6%,27–28 Jul 2011,2011-07-28
26–27 Jul,YouGov/The Sun,2733,36%,43%,8%,5%,2%,5% BNP on 2%,7%,26–27 Jul 2011,2011-07-27
25–26 Jul,YouGov/The Sun,2615,35%,44%,9%,5%,2%,4% BNP on 1%,9%,25–26 Jul 2011,2011-07-26
24–25 Jul,YouGov/The Sun,2783,37%,41%,10%,4%,2%,5% BNP on 2%,4%,24–25 Jul 2011,2011-07-25
22–24 Jul,ComRes/The Independent[permanent dead link‍],1002,34%,40%,13%,4%,4%,6%,6%,22–24 Jul 2011,2011-07-24
21–22 Jul,YouGov/Sunday Times,2749,35%,43%,10%,5%,2%,4%,8%,21–22 Jul 2011,2011-07-22
20–21 Jul,YouGov/The Sun,2684,36%,44%,9%,5%,2%,3% BNP on 1%,8%,20–21 Jul 2011,2011-07-21
19–20 Jul,YouGov/The Sun,2853,35%,43%,11%,4%,2%,4% BNP on 1%,8%,19–20 Jul 2011,2011-07-20
19–20 Jul,Angus Reid Public Opinion,2002,34%,41%,10%,6%,3%,7%,7%,19–20 Jul 2011,2011-07-20
18–19 Jul,YouGov/The Sun,2696,36%,43%,8%,6%,2%,5% BNP on 1%,7%,18–19 Jul 2011,2011-07-19
17–18 Jul,YouGov/The Sun,2810,37%,42%,9%,5%,2%,5% BNP on 1%,5%,17–18 Jul 2011,2011-07-18
16–18 Jul,Ipsos MORI/Reuters,1001,32%,39%,11%,4%,5%,9%,7%,16–18 Jul 2011,2011-07-18
15–17 Jul,ICM/The Guardian[17],1003,37%,36%,16%,3%,2%,6%,1%,15–17 Jul 2011,2011-07-17
15–17 Jul,Populus/The Times[18],800,34%,39%,11%,3%,3%,10%,5%,15–17 Jul 2011,2011-07-17
14–15 Jul,YouGov/Sunday Times,2046,36%,42%,11%,4%,2%,5%,6%,14–15 Jul 2011,2011-07-15
13–14 Jul,YouGov/The Sun,2577,36%,43%,9%,4%,2%,5% BNP on 2%,7%,13–14 Jul 2011,2011-07-14
13–14 Jul,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],2009,36%,40%,10%,5%,3%,6%,4%,13–14 Jul 2011,2011-07-14
12–13 Jul,YouGov/The Sun,2578,35%,43%,10%,5%,2%,5% BNP on 1%,8%,12–13 Jul 2011,2011-07-13
11–12 Jul,YouGov/The Sun,2655,37%,42%,9%,4%,2%,6% BNP on 1%,5%,11–12 Jul 2011,2011-07-12
10–11 Jul,YouGov/The Sun,2571,35%,43%,10%,5%,2%,5% BNP on 1%,8%,10–11 Jul 2011,2011-07-11
7–8 Jul,YouGov/Sunday Times,2741,35%,44%,8%,5%,2%,5%,9%,7–8 Jul 2011,2011-07-08
6–7 Jul,YouGov/The Sun,2759,37%,43%,8%,5%,2%,5% BNP on 1%,6%,6–7 Jul 2011,2011-07-07
5–6 Jul,YouGov/The Sun,2839,35%,43%,9%,5%,3%,6% BNP on 2%,8%,5–6 Jul 2011,2011-07-06
4–5 Jul,YouGov/The Sun,2738,35%,43%,10%,5%,2%,4% BNP on 1%,8%,4–5 Jul 2011,2011-07-05
3–4 Jul,YouGov/The Sun,2864,37%,43%,9%,5%,2%,5% BNP on 1%,6%,3–4 Jul 2011,2011-07-04
30 Jun–1 Jul,YouGov/Sunday Times,2785,36%,42%,9%,5%,2%,6%,6%,30 Jun–1 Jul 2011,2011-07-01
30 Jun,2011 Inverclyde by-election,2011 Inverclyde by-election,2011 Inverclyde by-election,2011 Inverclyde by-election,2011 Inverclyde by-election,2011 Inverclyde by-election,2011 Inverclyde by-election,2011 Inverclyde by-election,2011 Inverclyde by-election,30 Jun 2011,2011-06-30
29–30 Jun,YouGov/The Sun,2707,37%,42%,8%,5%,3%,6% BNP on 2%,5%,29–30 Jun 2011,2011-06-30
28–29 Jun,YouGov/The Sun,2699,37%,41%,10%,5%,2%,5% BNP on 1%,4%,28–29 Jun 2011,2011-06-29
27–28 Jun,YouGov/The Sun,2573,36%,43%,8%,6%,2%,5% BNP on 1%,7%,27–28 Jun 2011,2011-06-28
26–27 Jun,YouGov/The Sun,3007,37%,42%,10%,4%,2%,4% BNP on 1%,5%,26–27 Jun 2011,2011-06-27
24–26 Jun,ComRes/The Independent[permanent dead link‍],641,36%,40%,11%,3%,4%,6%,4%,24–26 Jun 2011,2011-06-26
23–24 Jun,YouGov/Sunday Times,2767,36%,43%,9%,4%,2%,6%,7%,23–24 Jun 2011,2011-06-24
22–23 Jun,YouGov/The Sun,2834,37%,42%,9%,5%,2%,5% BNP on 2%,5%,22–23 Jun 2011,2011-06-23
21–22 Jun,YouGov/The Sun,2774,36%,42%,9%,5%,3%,6% BNP on 2%,6%,21–22 Jun 2011,2011-06-22
20–21 Jun,YouGov/The Sun,2732,37%,42%,8%,5%,2%,5% BNP on 1%,5%,20–21 Jun 2011,2011-06-21
19–20 Jun,YouGov/The Sun,2847,37%,43%,9%,5%,2%,5% BNP on 1%,6%,19–20 Jun 2011,2011-06-20
17–19 Jun,ICM/The Guardian[17],1000,37%,39%,12%,2%,3%,7%,2%,17–19 Jun 2011,2011-06-19
16–17 Jun,YouGov/Sunday Times,2451,37%,42%,10%,5%,2%,5%,5%,16–17 Jun 2011,2011-06-17
15–16 Jun,YouGov/The Sun,2691,37%,43%,9%,4%,3%,5% BNP on 1%,6%,15–16 Jun 2011,2011-06-16
15–16 Jun,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link‍],1457,37%,37%,11%,4%,3%,8%,Tie,15–16 Jun 2011,2011-06-16
14–15 Jun,YouGov/The Sun,2773,36%,42%,9%,5%,3%,5% BNP on 1%,6%,14–15 Jun 2011,2011-06-15
13–14 Jun,YouGov/The Sun,2706,37%,42%,10%,4%,2%,5% BNP on 1%,5%,13–14 Jun 2011,2011-06-14
12–13 Jun,YouGov/The Sun,2928,37%,42%,10%,4%,2%,4% BNP on 1%,5%,12–13 Jun 2011,2011-06-13
10–12 Jun,Populus/The Times[18],1508,39%,40%,9%,3%,3%,6%,1%,10–12 Jun 2011,2011-06-12
9–10 Jun,YouGov/Sunday Times,2728,37%,42%,9%,5%,2%,5%,5%,9–10 Jun 2011,2011-06-10
8–9 Jun,YouGov/The Sun,2861,37%,43%,8%,4%,2%,5% BNP on 2%,6%,8–9 Jun 2011,2011-06-09
7–8 Jun,YouGov/The Sun,2693,37%,42%,9%,4%,2%,4% BNP on 1%,5%,7–8 Jun 2011,2011-06-08
6–7 Jun,YouGov/The Sun,2704,36%,44%,8%,4%,2%,6% BNP on 2%,8%,6–7 Jun 2011,2011-06-07
5–6 Jun,YouGov/The Sun,2667,37%,43%,9%,4%,2%,5% BNP on 2%,6%,5–6 Jun 2011,2011-06-06
2–3 Jun,YouGov/Sunday Times,2579,37%,42%,9%,4%,2%,6%,5%,2–3 Jun 2011,2011-06-03
1–2 Jun,YouGov/The Sun,2935,36%,42%,9%,5%,2%,4% BNP on 1%,6%,1–2 Jun 2011,2011-06-02
31 May–1 Jun,YouGov/The Sun,2657,39%,41%,9%,5%,2%,5% BNP on 1%,2%,31 May–1 Jun 2011,2011-06-01
30–31 May,YouGov/The Sun,2845,37%,42%,9%,5%,2%,7% BNP on 2%,5%,30–31 May 2011,2011-05-31
27–29 May,ComRes/The Independent[permanent dead link‍],607,37%,37%,12%,4%,3%,7%,Tie,27–29 May 2011,2011-05-29
26–27 May,YouGov/Sunday Times,2723,37%,43%,9%,5%,2%,5%,6%,26–27 May 2011,2011-05-27
25–26 May,YouGov/The Sun,2756,37%,43%,8%,5%,2%,5% BNP on 1%,6%,25–26 May 2011,2011-05-26
24–25 May,YouGov/The Sun,2795,37%,41%,10%,4%,2%,6% BNP on 2%,4%,24–25 May 2011,2011-05-25
23–24 May,YouGov/The Sun,2442,38%,42%,9%,4%,2%,5% BNP on 1%,4%,23–24 May 2011,2011-05-24
20–24 May,Ipsos MORI/Reuters,1008,35%,42%,10%,2%,6%,6%,7%,20–24 May 2011,2011-05-24
22–23 May,YouGov/The Sun,2823,38%,42%,10%,4%,2%,4% BNP on 1%,4%,22–23 May 2011,2011-05-23
19–20 May,YouGov/Sunday Times,2691,37%,42%,8%,4%,3%,5%,5%,19–20 May 2011,2011-05-20
18–19 May,YouGov/The Sun,2256,38%,40%,10%,5%,2%,5% BNP on 1%,2%,18–19 May 2011,2011-05-19
17–18 May,YouGov/The Sun,2064,36%,42%,9%,5%,2%,5% BNP on 1%,6%,17–18 May 2011,2011-05-18
16–17 May,YouGov/The Sun,2515,39%,41%,9%,4%,2%,5% BNP on 2%,2%,16–17 May 2011,2011-05-17
15–16 May,YouGov/The Sun,2601,38%,41%,10%,3%,2%,7% BNP on 2%,3%,15–16 May 2011,2011-05-16
12–13 May,YouGov/The Sunday Times,2286,36%,41%,9%,4%,3%,6%,5%,12–13 May 2011,2011-05-13
11–12 May,ComRes/Independent on Sunday & Sunday Mirror[permanent dead link‍],1460,38%,39%,11%,4%,3%,6%,1%,11–12 May 2011,2011-05-12
9–10 May,YouGov/The Sun,2341,38%,40%,9%,6%,2%,4% BNP on 1%,2%,9–10 May 2011,2011-05-10
8–9 May,YouGov/The Sun,2530,38%,42%,8%,4%,2%,7% BNP on 2%,4%,8–9 May 2011,2011-05-09
6–9 May,Opinium,1964,35%,38%,9%,7%,4%,8%,3%,6–9 May 2011,2011-05-09
6–8 May,Populus/The Times[18],1504,37%,39%,11%,2%,3%,9%,2%,6–8 May 2011,2011-05-08
5–6 May,YouGov/Sunday Times,2056,36%,41%,10%,5%,2%,5%,5%,5–6 May 2011,2011-05-06
5 May,2011 Leicester South by-election,2011 Leicester South by-election,2011 Leicester South by-election,2011 Leicester South by-election,2011 Leicester South by-election,2011 Leicester South by-election,2011 Leicester South by-election,2011 Leicester South by-election,2011 Leicester South by-election,5 May 2011,2011-05-05
5 May,2011 National Assembly for Wales election,2011 National Assembly for Wales election,2011 National Assembly for Wales election,2011 National Assembly for Wales election,2011 National Assembly for Wales election,2011 National Assembly for Wales election,2011 National Assembly for Wales election,2011 National Assembly for Wales election,2011 National Assembly for Wales election,5 May 2011,2011-05-05
5 May,2011 Scottish Parliament election,2011 Scottish Parliament election,2011 Scottish Parliament election,2011 Scottish Parliament election,2011 Scottish Parliament election,2011 Scottish Parliament election,2011 Scottish Parliament election,2011 Scottish Parliament election,2011 Scottish Parliament election,5 May 2011,2011-05-05
5 May,2011 United Kingdom local elections,2011 United Kingdom local elections,2011 United Kingdom local elections,2011 United Kingdom local elections,2011 United Kingdom local elections,2011 United Kingdom local elections,2011 United Kingdom local elections,2011 United Kingdom local elections,2011 United Kingdom local elections,5 May 2011,2011-05-05
5 May,2011 Alternative Vote referendum,2011 Alternative Vote referendum,2011 Alternative Vote referendum,2011 Alternative Vote referendum,2011 Alternative Vote referendum,2011 Alternative Vote referendum,2011 Alternative Vote referendum,2011 Alternative Vote referendum,2011 Alternative Vote referendum,5 May 2011,2011-05-05
4–5 May,YouGov/The Sun,2087,37%,39%,10%,4%,2%,6% BNP on 2%,2%,4–5 May 2011,2011-05-05
3–4 May,YouGov/The Sun,5725,36%,40%,11%,6%,2%,6% BNP on 2%,4%,3–4 May 2011,2011-05-04
2–3 May,YouGov/The Sun,2365,37%,42%,10%,5%,2%,5% BNP on 1%,5%,2–3 May 2011,2011-05-03
28 Apr–1 May,ComRes/Independent[permanent dead link‍],606,34%,37%,15%,3%,5%,6%,3%,28 Apr–1 May 2011,2011-05-01
27–28 Apr,YouGov/The Sun,2070,36%,41%,12%,4%,2%,4% BNP on 1%,5%,27–28 Apr 2011,2011-04-28
26–27 Apr,YouGov/The Sun,2666,36%,42%,10%,5%,2%,5% BNP on 1%,6%,26–27 Apr 2011,2011-04-27
25–26 Apr,YouGov/The Sun,2617,36%,41%,10%,6%,2%,6% BNP on 2%,5%,25–26 Apr 2011,2011-04-26
20–21 Apr,YouGov/The Sun,2629,36%,42%,10%,6%,2%,4% BNP on 1%,6%,20–21 Apr 2011,2011-04-21
19–20 Apr,YouGov/The Sun,2346,36%,43%,9%,4%,3%,4% BNP on 1%,7%,19–20 Apr 2011,2011-04-20
18–19 Apr,YouGov/The Sun,2431,36%,43%,9%,4%,2%,6% BNP on 2%,7%,18–19 Apr 2011,2011-04-19
17–18 Apr,YouGov/The Sun,3637,36%,42%,9%,5%,2%,5% BNP on 1%,6%,17–18 Apr 2011,2011-04-18
15–17 Apr,Ipsos MORI/Reuters,1000,40%,40%,9%,3%,3%,5%,Tie,15–17 Apr 2011,2011-04-17
14–15 Apr,YouGov/Sunday Times,2735,37%,41%,9%,5%,2%,5%,4%,14–15 Apr 2011,2011-04-15
13–15 Apr,ComRes/Independent on Sunday & Sunday Mirror[permanent dead link‍],1533,35%,39%,10%,6%,4%,4%,4%,13–15 Apr 2011,2011-04-15
13–14 Apr,YouGov/The Sun,2555,36%,42%,10%,5%,2%,5% BNP on 2%,6%,13–14 Apr 2011,2011-04-14
12–13 Apr,YouGov/The Sun,2813,35%,44%,10%,4%,2%,6% BNP on 2%,9%,12–13 Apr 2011,2011-04-13
11–12 Apr,YouGov/The Sun,2258,37%,42%,9%,5%,2%,4% BNP on 1%,5%,11–12 Apr 2011,2011-04-12
10–11 Apr,YouGov/The Sun,2649,36%,42%,10%,5%,2%,6% BNP on 2%,6%,10–11 Apr 2011,2011-04-11
8–11 Apr,Angus Reid Public Opinion,2023,31%,42%,11%,6%,3%,7%,11%,8–11 Apr 2011,2011-04-11
8–10 Apr,Populus/The Times[18],1509,36%,40%,11%,4%,3%,8%,4%,8–10 Apr 2011,2011-04-10
7–8 Apr,YouGov/Sunday Times,2206,36%,43%,9%,4%,2%,6%,7%,7–8 Apr 2011,2011-04-08
6–7 Apr,YouGov/The Sun,2199,35%,44%,10%,4%,2%,5% BNP on 1%,9%,6–7 Apr 2011,2011-04-07
5–6 Apr,YouGov/The Sun,2034,36%,42%,10%,5%,2%,6% BNP on 2%,6%,5–6 Apr 2011,2011-04-06
4–5 Apr,YouGov/The Sun,2530,37%,42%,9%,5%,2%,5% BNP on 1%,5%,4–5 Apr 2011,2011-04-05
3–4 Apr,YouGov/The Sun,2484,37%,42%,9%,4%,3%,5% BNP on 2%,5%,3–4 Apr 2011,2011-04-04
31 Mar–1 Apr,YouGov/Sunday Times,2226,36%,42%,11%,5%,2%,5%,6%,31 Mar–1 Apr 2011,2011-04-01
30–31 Mar,YouGov/The Sun,2175,35%,42%,10%,5%,2%,6% BNP on 2%,7%,30–31 Mar 2011,2011-03-31
29–30 Mar,YouGov/The Sun,2202,35%,45%,9%,5%,2%,5% BNP on 2%,10%,29–30 Mar 2011,2011-03-30
28–29 Mar,YouGov/The Sun,2198,36%,42%,10%,5%,2%,5% BNP on 2%,6%,28–29 Mar 2011,2011-03-29
27–28 Mar,YouGov/The Sun,2391,36%,44%,9%,4%,1%,6% BNP on 1%,8%,27–28 Mar 2011,2011-03-28
25–27 Mar,ComRes/The Independent[permanent dead link‍],1000,35%,41%,13%,4%,3%,4%,6%,25–27 Mar 2011,2011-03-27
24–25 Mar,YouGov/Sunday Times,2214,38%,41%,11%,4%,2%,4%,3%,24–25 Mar 2011,2011-03-25
23–24 Mar,YouGov/The Sun,2456,37%,41%,11%,4%,2%,5% BNP on 1%,4%,23–24 Mar 2011,2011-03-24
23–24 Mar,ICM/The Guardian[17],1014,37%,36%,16%,2%,2%,7%,1%,23–24 Mar 2011,2011-03-24
22–23 Mar,YouGov/The Sun,2485,36%,42%,10%,5%,2%,4% BNP on 1%,6%,22–23 Mar 2011,2011-03-23
21–22 Mar,YouGov/The Sun,2026,35%,42%,9%,5%,2%,6% BNP on 2%,7%,21–22 Mar 2011,2011-03-22
18–21 Mar,Angus Reid Public Opinion,2023,32%,41%,10%,8%,10%,10%,9%,18–21 Mar 2011,2011-03-21
17–18 Mar,YouGov/Sunday Times,2682,37%,43%,9%,5%,2%,5%,6%,17–18 Mar 2011,2011-03-18
16–17 Mar,YouGov/The Sun,2295,35%,43%,10%,5%,2%,4% BNP on 1%,8%,16–17 Mar 2011,2011-03-17
15–16 Mar,YouGov/The Sun,2666,35%,43%,10%,5%,2%,5% BNP on 2%,8%,15–16 Mar 2011,2011-03-16
14–15 Mar,YouGov/The Sun,2595,35%,45%,9%,5%,1%,4% BNP on 2%,10%,14–15 Mar 2011,2011-03-15
13–14 Mar,YouGov/The Sun,2634,35%,44%,9%,5%,2%,4% BNP on 1%,9%,13–14 Mar 2011,2011-03-14
11–13 Mar,Ipsos MORI/Reuters,1000,37%,41%,10%,3%,3%,6%,4%,11–13 Mar 2011,2011-03-13
10–11 Mar,YouGov/Sunday Times,2067,33%,44%,10%,7%,2%,5%,11%,10–11 Mar 2011,2011-03-11
9–10 Mar,YouGov/The Sun,2195,34%,45%,9%,6%,2%,5% BNP on 2%,11%,9–10 Mar 2011,2011-03-10
8–9 Mar,YouGov/The Sun,2436,36%,42%,9%,6%,1%,5% BNP on 2%,6%,8–9 Mar 2011,2011-03-09
7–8 Mar,YouGov/The Sun,2346,36%,44%,10%,5%,2%,5% BNP on 2%,8%,7–8 Mar 2011,2011-03-08
6–7 Mar,YouGov/The Sun,1614,36%,42%,9%,6%,2%,5% BNP on 1%,6%,6–7 Mar 2011,2011-03-07
4–6 Mar,Populus/The Times[18],1511,35%,41%,11%,5%,4%,7%,6%,4–6 Mar 2011,2011-03-06
3–4 Mar,YouGov/Sunday Times,2413,35%,43%,10%,4%,2%,5%,8%,3–4 Mar 2011,2011-03-04
3–4 Mar,Angus Reid Public Opinion,2007,33%,41%,10%,6%,10%,10%,8%,3–4 Mar 2011,2011-03-04
3 Mar,2011 Barnsley Central by-election,2011 Barnsley Central by-election,2011 Barnsley Central by-election,2011 Barnsley Central by-election,2011 Barnsley Central by-election,2011 Barnsley Central by-election,2011 Barnsley Central by-election,2011 Barnsley Central by-election,2011 Barnsley Central by-election,3 Mar 2011,2011-03-03
1–2 Mar,YouGov/The Sun,2458,36%,41%,11%,5%,2%,5% BNP on 2%,5%,1–2 Mar 2011,2011-03-02
28 Feb–1 Mar,YouGov/The Sun,2126,34%,43%,11%,5%,2%,5% BNP on 2%,9%,28 Feb–1 Mar 2011,2011-03-01
27–28 Feb,YouGov/The Sun,2549,36%,43%,10%,3%,2%,6% BNP on 2%,7%,27–28 Feb 2011,2011-02-28
25–27 Feb,ComRes/The Independent[permanent dead link‍],1007,35%,39%,12%,3%,5%,6%,4%,25–27 Feb 2011,2011-02-27
24–25 Feb,YouGov/Sunday Times,2325,36%,44%,10%,3%,2%,5%,8%,24–25 Feb 2011,2011-02-25
23–24 Feb,YouGov/The Sun,TBC,38%,42%,10%,10%,10%,10%,4%,23–24 Feb 2011,2011-02-24
22–23 Feb,YouGov/The Sun,2487,36%,44%,11%,3%,2%,4% BNP on 2%,8%,22–23 Feb 2011,2011-02-23
